ID	thr	ths	Alfa	n	Ks
1	0.057750003	0.370426459	0.027646703	1.916473769	0.001375921
2	0.048810094	0.378376569	0.033009526	1.186172653	0.000240875
3	0.056375639	0.373248302	0.028806196	1.784977583	0.000836156
4	0.060611936	0.36876819	0.025027472	1.456789051	0.000350475
5	0.048360106	0.379637539	0.034484898	1.804363273	0.0012253
6	0.058831617	0.371089651	0.027884962	2.060144955	0.001236079
7	0.043546211	0.383856453	0.039212702	1.841565139	0.001260459
8	0.050209101	0.376718554	0.031667057	1.639963141	0.000855551
9	0.041345686	0.385718061	0.041271632	2.385648479	0.003616366
10	0.046699278	0.379276524	0.034740047	1.277078218	0.000479687
11	0.052869436	0.376299614	0.031420509	1.732428656	0.000715997
12	0.020862445	0.403988859	0.065409241	1.936296014	0.002337029
13	0.040848298	0.384896196	0.041018858	2.118631791	0.002456077
14	0.062079525	0.366157305	0.02503094	1.773415934	0.001002266
15	0.065383756	0.365871691	0.024015753	1.566477976	0.000448912
16	0.069839489	0.361715912	0.02209585	2.047820824	0.001176718
17	0.04355567	0.38354199	0.03872832	2.455225827	0.00306972
18	0.046831658	0.383368071	0.037617369	3.230545342	0.008007647
19	0.035106366	0.391467674	0.047165844	2.439608344	0.004150788
20	0.038170358	0.388801621	0.045261099	2.797362776	0.006465815
21	0.045460445	0.382141105	0.037400789	1.916726687	0.001564373
22	0.066825226	0.363608315	0.022218097	1.253617298	0.00024126
23	0.063822429	0.365096965	0.024354048	2.439003284	0.002295961
24	0.045289168	0.381950406	0.036014572	1.610799022	0.000823936
25	0.060524453	0.369969602	0.026596226	1.651642463	0.000652372
26	0.053369971	0.376174138	0.031248184	2.29910499	0.002059781
27	0.047546196	0.38070655	0.034951142	2.266782869	0.002180595
28	0.052572944	0.37621427	0.030614615	1.480639034	0.000574847
29	0.053627638	0.373872525	0.031043094	1.836507086	0.0012555
30	0.045045443	0.382773042	0.035913731	1.831155679	0.001020792
31	0.061199294	0.369687594	0.026218766	1.841830021	0.000939065
32	0.045650874	0.382194117	0.03688922	1.96899104	0.001816775
33	0.043495245	0.385124939	0.039844732	1.953449982	0.001535426
34	0.05088121	0.376056228	0.032159385	1.179934928	0.000311154
35	0.052845215	0.377828377	0.031851095	1.661698881	0.000630871
36	0.050292702	0.376966244	0.033582106	1.735605708	0.001165536
37	0.041725626	0.386488258	0.041065212	2.001364272	0.001683782
38	0.062839564	0.364321491	0.024296758	1.512304973	0.000674642
39	0.047879008	0.381762114	0.035363009	2.160205314	0.001732472
40	0.055212937	0.374225116	0.030781408	1.931727823	0.001387009
41	0.040545821	0.384406395	0.038048384	0.991432921	0.000201704
42	0.046630584	0.38053601	0.034808056	1.205938996	0.000317013
43	0.053675241	0.372939542	0.031039191	2.577039834	0.003987975
44	0.062205538	0.36708718	0.025658435	2.339321676	0.002338241
45	0.035663097	0.391727309	0.045657789	1.666502713	0.001124742
46	0.046719836	0.381995382	0.03585513	1.352307839	0.00043014
47	0.067142679	0.365208071	0.022970371	1.683577733	0.000489505
48	0.036946266	0.388230049	0.044386556	2.961628255	0.009368086
49	0.045070618	0.382262133	0.037744069	1.620709709	0.000932083
50	0.057233134	0.37198144	0.029226662	1.961796032	0.001265345
51	0.064793177	0.366416124	0.02485568	1.531894973	0.000398126
52	0.04200166	0.387237754	0.040676404	2.249148327	0.002354929
53	0.055337284	0.373686321	0.030145457	1.99139072	0.001418677
54	0.051127786	0.377773148	0.032281274	0.970592962	0.00014487
55	0.057673527	0.372332447	0.029169927	2.548512163	0.00267677
56	0.062618599	0.367499889	0.0255312	1.059447335	0.000172561
57	0.041759271	0.384656511	0.040120046	1.969521141	0.002113866
58	0.029854991	0.395884768	0.051544939	2.189309778	0.003373643
59	0.060367566	0.370697412	0.026966802	2.133977888	0.001331516
60	0.052369484	0.375299181	0.030432212	1.395709492	0.000453657
61	0.063602292	0.365201168	0.025039669	1.592331771	0.000720451
62	0.052652913	0.375413596	0.032826894	2.605741362	0.004704488
63	0.050837151	0.377360885	0.033650715	2.155441287	0.002162483
64	0.053393239	0.374375833	0.031501528	2.544293006	0.00370679
65	0.039340423	0.387902601	0.04137039	1.557159796	0.000834869
66	0.05198492	0.37864862	0.033454919	2.65237116	0.003366295
67	0.046276934	0.381750664	0.036599782	1.411353381	0.000527955
68	0.039229749	0.385698122	0.040877592	1.847203006	0.001662497
69	0.067076177	0.363524612	0.023408836	2.317661598	0.002254575
70	0.045922552	0.382241841	0.036750787	1.49746773	0.000667857
71	0.055853202	0.373569216	0.0300186	1.907962539	0.001348036
72	0.047565023	0.378146065	0.034171728	1.489686461	0.000829271
73	0.053544118	0.373550459	0.030290572	1.510305899	0.000704325
74	0.061647686	0.368525777	0.026373749	1.662702344	0.000754444
75	0.042587401	0.386556067	0.039883212	1.728487345	0.001011819
76	0.035685611	0.393326224	0.046884099	1.968716946	0.001586459
77	0.053482459	0.376693699	0.032396117	2.595227691	0.003643276
78	0.047558165	0.379085519	0.034167185	1.553885255	0.000900824
79	0.060325997	0.3705269	0.026967009	1.320260943	0.000285414
